,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
97,97.0,7.0,6.0,0.0,0.0,1009.0,581.0,545.0,502.0,0.0,3.0,48.0,41.0,37.0,53.0,0.0,169.0,98.0,22.0,0.0,0.0,4.0,104.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0
98,98.0,8.0,6.0,0.0,0.0,1218.0,438.0,256.0,151.0,0.0,15.0,67.0,43.0,72.0,9.0,0.0,0.0,10.0,75.0,126.0,0.0,26.0,475.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0
99,99.0,9.0,6.0,0.0,0.0,1323.0,156.0,505.0,551.0,0.0,5.0,18.0,16.0,25.0,69.0,0.0,77.0,43.0,20.0,0.0,0.0,12.0,293.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
100,100.0,10.0,6.0,0.0,0.0,887.0,719.0,151.0,486.0,0.0,33.0,177.0,61.0,110.0,19.0,0.0,0.0,35.0,40.0,0.0,0.0,34.0,270.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0
101,101.0,11.0,6.0,0.0,0.0,1277.0,533.0,96.0,356.0,0.0,20.0,208.0,0.0,38.0,166.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,209.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
102,102.0,12.0,6.0,0.0,0.0,1058.0,351.0,141.0,370.0,0.0,19.0,9.0,34.0,38.0,43.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,221.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0
103,103.0,13.0,6.0,0.0,0.0,1356.0,254.0,189.0,369.0,0.0,35.0,70.0,25.0,114.0,36.0,0.0,52.0,23.0,30.0,0.0,0.0,17.0,141.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0
104,104.0,14.0,6.0,0.0,0.0,628.0,0.0,47.0,139.0,0.0,0.0,0.0,6.0,3.0,11.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105.0,15.0,6.0,0.0,0.0,1256.0,314.0,177.0,48.0,0.0,2.0,38.0,10.0,11.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,6.0,102.0,0.0,0.0,81.0,304.0,0.0,0.0,0.0
106,106.0,16.0,6.0,0.0,0.0,864.0,265.0,60.0,520.0,0.0,0.0,30.0,9.0,12.0,169.0,0.0,0.0,176.0,58.0,0.0,0.0,0.0,275.0,0.0,0.0,277.0,43.0,0.0,0.0,0.0
107,107.0,17.0,6.0,0.0,0.0,851.0,718.0,645.0,446.0,0.0,10.0,28.0,52.0,144.0,26.0,0.0,3.0,41.0,21.0,0.0,0.0,3.0,159.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
