,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
86,86.0,22.0,5.0,95.0,27.0,18.0,83.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87.0,23.0,5.0,76.0,29.0,33.0,25.0,0.0,1.0,0.0,2.0,1.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,88.0,24.0,5.0,95.0,29.0,30.0,49.0,0.0,12.0,5.0,5.0,1.0,25.0,0.0,13.0,2.0,8.0,1.0,9.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
89,89.0,25.0,5.0,85.0,17.0,19.0,32.0,0.0,2.0,6.0,17.0,15.0,2.0,0.0,0.0,11.0,1.0,0.0,3.0,16.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
90,90.0,26.0,5.0,55.0,24.0,25.0,41.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,38.0,0.0,3.0,0.0,0.0,0.0,0.0
91,91.0,1.0,6.0,95.0,42.0,27.0,20.0,0.0,12.0,10.0,5.0,14.0,1.0,0.0,1.0,9.0,4.0,0.0,6.0,38.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
92,92.0,2.0,6.0,71.0,19.0,24.0,32.0,0.0,2.0,7.0,3.0,1.0,5.0,0.0,26.0,3.0,6.0,15.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
93,93.0,3.0,6.0,86.0,91.0,17.0,29.0,0.0,3.0,12.0,5.0,14.0,5.0,0.0,0.0,4.0,9.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
94,94.0,4.0,6.0,89.0,35.0,35.0,50.0,0.0,4.0,5.0,9.0,15.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,14.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
95,95.0,5.0,6.0,40.0,21.0,35.0,34.0,0.0,3.0,4.0,3.0,15.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
96,96.0,6.0,6.0,122.0,14.0,5.0,50.0,0.0,0.0,18.0,0.0,17.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,57.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
97,97.0,7.0,6.0,85.0,60.0,60.0,30.0,0.0,1.0,6.0,5.0,6.0,8.0,0.0,15.0,10.0,4.0,0.0,1.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
98,98.0,8.0,6.0,85.0,49.0,39.0,14.0,0.0,3.0,11.0,10.0,10.0,1.0,0.0,0.0,2.0,8.0,7.0,3.0,37.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
99,99.0,9.0,6.0,114.0,26.0,70.0,50.0,0.0,1.0,3.0,2.0,6.0,8.0,0.0,7.0,5.0,1.0,0.0,2.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
100,100.0,10.0,6.0,67.0,47.0,12.0,30.0,0.0,6.0,8.0,6.0,11.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
101,101.0,11.0,6.0,71.0,37.0,12.0,26.0,0.0,4.0,18.0,0.0,4.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
102,102.0,12.0,6.0,68.0,38.0,14.0,36.0,0.0,2.0,2.0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
